,location,title,company,salary,summary,rating,JT
9187,"Bengaluru, Karnataka",Senior Cybersecurity Engineer,lululemon India Tech Hub,NA,"
Develop and implement security and control risk monitoring strategy in key risk and control areas such as identity authentication, cloud computing, software…
",NA,software+architect
9188,"Bengaluru, Karnataka",newSenior Automation Test Engineer,lululemon India Tech Hub,NA,"
Automation testing experience using BDD/ TDD software development processes.
Expertise in closely working with software devs and solution architects to…
",NA,software+architect
9189,"Hyderabad, Telangana",Technical Consultant - Oracle Cloud,Advance Auto Parts,NA,"
Work with a nimble team of software engineers and enterprise architects to ensure the solutions meet our business needs using Agile methodologies in a fast…
",3.4,software+architect
9190,"Chennai, Tamil Nadu",Java Developer,Larsen & Toubro Infotech Limited,NA,"
Ability to review software architecture of microservices.
Technology: Java 8+, Spring 4+, Config Server, Javascript, SQL (Oracle DB).
",3.7,software+architect
9191,"Bengaluru, Karnataka",DBCG - IND - Platinion Senior Architect,Boston Consulting Group,NA,"
Advising fellow architects on areas relevant to an area you have depth in.
[10+] years’ experience in software development, technical project management,…
",4.2,software+architect
9192,"Bengaluru, Karnataka+1 location",Senior Software Engineer,Wells Fargo,NA,"
Work closely with administrators, architects, and other support teams to ensure applications are performing well and within agreed upon SLAs.
",3.7,software+architect
9193,"Bengaluru, Karnataka",AI/ML engineering architect,Wells Fargo,NA,"
Technical software development experience in the field of data driven products is a plus.
Certification on Cloud services (preferably GCP) - Google Professional…
",3.7,software+architect
9194,India,"Senior Software Engineer, Testing",Majesco- Insurance/Software,NA,"
Ensure highest quality of the software through best practices in testing the software that can provide delightful customer experience.
",NA,software+architect
9195,"New Delhi, Delhi",Senior Platform Engineer - GAMMA,Boston Consulting Group,NA,"
The role will work together with multiple architects and developers, being involved throughout the software development / implementation process.
",4.2,software+architect
9196,"Mumbai, Maharashtra","Expert, Data Engineering",Colgate-Palmolive,NA,"
Relocation Assistance Offered Within Country.
Do you want to come to work with a smile and leave with one as well?
You are a mentor / coach -.
",4.3,software+architect
9197,"Bengaluru, Karnataka+1 location",newInfrastructure Engineer,WELLS FARGO BANK,NA,"
Partner with architects and application development teams in software design and framework adoption.
RQO0019439 - 5+ years of front end software engineering…
",3.7,software+architect
9198,Remote in India,Staff Data Engineer,Oportun Inc,NA,"
5+ years of experience working as a software engineer/solution architect.
Recommends and contributes to software engineering best practices, including those…
",NA,software+architect
9199,"Bengaluru, Karnataka","Principal Hardware Engineer, cSSD",Micron,NA,"
This is a highly visible and challenging role and you will be working very closely with other development groups such as software, firmware, Media, and ASIC and…
",3.7,software+architect
9200,Temporarily Remote in India,"Senior Lead Engineer, Solution Support",Majesco- Insurance/Software,NA,"
Leadership in managing the delivery of system/software development projects in a structured environment.
At least 7 - 10 years’ experience in a senior level…
",NA,software+architect
9201,"Hyderabad, Telangana",Staff Software Engineer - IT MFG Infra,Micron,NA,"
Analyze the software solution options.
Evaluate the available software options.
Provide 24x7 escalation support for software issues.
",3.7,software+architect
9202,"Bengaluru, Karnataka",Data Engineer - Azure,lululemon India Tech Hub,NA,"
Familiarity with agile software delivery methodologies.
Augment CDP capabilities with new data sets and new data integrations to enhance omnichannel view of…
",NA,software+architect
9203,"Hyderabad, Telangana",Solution Architect - React Native,Advance Auto Parts,NA,"
Agile software development methodologies Apple App Store release process.
ECommerce Solutions Architect will be responsible for partnering closely with Product…
",3.4,software+architect
9204,"Hyderabad, Telangana",Principal Developer-Java,Advance Auto Parts,NA,"
Demonstrated knowledge in Agile software development disciplines.
Excellent interpersonal, written and verbal communication skills to work with different…
",3.4,software+architect
9205,"Mumbai, Maharashtra",Digital Solutions Loyalty - Technical Specialist / Sr Techni...,Colgate-Palmolive,NA,"
Must be proficient in SQL, understand how to design and evaluate data models (conceptual, logical and physical), and have the ability to closely partner with…
",4.3,software+architect
9206,"New Delhi, Delhi",Lead Cloud Engineer,Boston Consulting Group,NA,"
Experience in deploying/maintaining infrastructure platforms & software solutions (ideally AWS).
Bachelors/Master’s degree in software engineering, computer…
",4.2,software+architect
9207,"Bengaluru, Karnataka","Sr Software Engineer, Core Data Platform",Uber,NA,"
Work alongside the pioneers of big data systems such as Hive, Yarn, Spark, Presto, Kafka, Flink to build out a highly reliable, performant, easy to use software…
",3.7,software+architect
9208,"Chennai, Tamil Nadu",React Native Developer - Mobile Applications,Walmart,NA,"
We use technology to operate smarter and deliver everyday low prices (EDLP) to customers and members.
Bachelors degree in computer science or related discipline…
",3.4,software+architect
9209,"Bengaluru, Karnataka",React.js Developer,7-Eleven,NA,"
Through machine learning, artificial intelligence, and next-level mobile technologies, well meetand exceedour customers ever-changing needs.
",3.5,software+architect
9210,"Gurgaon, Haryana",Service Desk Support Engineer,ANSR Accelerator,NA,"
Strong awareness and understanding of hardware, networks, software technologies and applications.
Provides technical support of all facets of the EUC, Wintel…
",NA,software+architect
9211,"Bengaluru, Karnataka",Web Engineer II,"Arrow Electronics, Inc.",NA,"
Support solution architects in problem analysis.
Manage full software development life cycle including understanding business requirements , performing solution…
",3.5,software+architect
9212,"Hyderabad, Telangana",Magento Developer,BlueSky Commerce,NA,"
Contribute to all phases of software development process including project estimation, requirements documentation, software design, development, testing, and…
",NA,software+architect
9213,"Bengaluru, Karnataka+1 location",Senior Engineer - BCM/ESGO ServiceNow Technology Solutions,WELLS FARGO BANK,NA,"
3 + years of experience designing software solutions using software architecture design principles.
Participates in definition and maintenance of software…
",3.7,software+architect
9214,"Bengaluru, Karnataka",Data Engineer - Azure,lululemon India Tech Hub,NA,"
Familiarity with agile software delivery methodologies.
Augment CDP capabilities with new data sets and new data integrations to enhance omnichannel view of…
",NA,software+architect
9215,"Bengaluru, Karnataka",newLTI Hiring :AWS Architect,Larsen & Toubro Infotech Limited,NA,"
Liaise with architects, software engineers, database administrators to understand and implement new requirements, features and changes.
",3.7,software+architect
9216,"Kolkata, West Bengal",Pega Developer - CSSA,Larsen & Toubro Infotech Limited,NA,"
Facilitate/lead/participate in identification of solution options and features for a Pega application.
Ensure alignment with enterprise technology standards (e…
",3.7,software+architect
9217,"Delhi, Delhi",AutoCAD Engineer - Electrical,HEINRICH CORPORATION INDIA PVT LTD,"₹25,000 a month","
Collaborate with architects and engineers on projects.
Use computer-aided design (CAD) software to create drawings and plans.
Advanced math and computer skills.
",NA,software+architect
9218,"Bengaluru, Karnataka",PCB Design Engineer,GLOINNT,NA,"
DXdatabook, Design Architect/Boardstation) or other related ECAD/EDA software tools.
Our eCAD services takes pride in supporting board designs for Electronics…
",NA,software+architect
9219,"Visakhapatnam, Andhra Pradesh",newDevOps Engineer (AWS),Vivify Healthcare Pvt. Ltd.,"₹25,000 - ₹40,000 a month","
You'll work collaboratively with software engineering to deploy and operate systems.
If you have a solid background in software engineering and are familiar…
",NA,software+architect
9220,"Mumbai, Maharashtra",Brand technical specialist- myInvenio,IBM,NA,"
Engaging with architects for solution design and configurations,.
Collaborate with IBM Automation Sellers and Business Partners to provide technical expertise…
",3.9,software+architect
9221,"Bengaluru, Karnataka",Software Architect - GAMMA,Boston Consulting Group,NA,"
You should be strong in solutioning with hands-on experience in software delivery, through the entire life cycle of software development.
",4.2,software+architect
9222,"New Delhi, Delhi","Software Engineer, Full Stack - BCG GAMMA",Boston Consulting Group,NA,"
BCG Gamma squads, tribes, product managers, software engineers, and architects.
Customization of existing software modules for client deployments.
",4.2,software+architect
9223,"Bengaluru, Karnataka",newSoftware Engineering Senior Manager,Wells Fargo,NA,"
Identify and recommend opportunities for continuously improving software engineering practices and productivity of teams.
2+ years of Leadership experience.
",3.7,software+architect
9224,"Bengaluru, Karnataka",Software Engineer II - Android,Uber,NA,"
Design/architect, develop and/or test software applications in Android using Uber's technology stack;
Rider Growth is a new and emerging line of business in…
",3.7,software+architect
9225,"Bengaluru, Karnataka","Staff Software Engineer, Uber Infra",Uber,NA,"
12+ years of experience with software engineering.
Our engineering community depends on us to develop centralized solutions to support each part of the…
",3.7,software+architect
9226,"Mumbai, Maharashtra",Digital Data & Identity - Technical Specialist / Sr Technica...,Colgate-Palmolive,NA,"
Collaborate closely with software vendors to deliver global solutions.
Must be proficient in SQL, understand how to design and evaluate data models (conceptual,…
",4.3,software+architect
9227,"Mumbai, Maharashtra",DevOps - Specialist/Sr. Specialist,Colgate-Palmolive,NA,"
Good command of software-automation production systems (Jenkins, Selenium, etc.).
The candidate is a domain expert and responsible for design, development and…
",4.3,software+architect
9228,"Bengaluru, Karnataka+1 location",newInfrastructure Engineer,WELLS FARGO BANK,NA,"
Partner with architects and application development teams in software design and framework adoption.
RQO0019439 - 5+ years of front end software engineering…
",3.7,software+architect
9229,"Bengaluru, Karnataka",Software Developer II - Growth & Marketing Platform,Uber,NA,"
Adapt to meet the needs of our massive growth and rapidly evolving systems.
Write maintainable and extensible code with high quality tests and documentation.
",3.7,software+architect
9230,"Bengaluru, Karnataka",Sr. Software Engineer - SEO Intelligence - Growth & Marketin...,Uber,NA,"
5+ years of experience in backend software system design and implementation.
7+ years of backend software development with design and architecture skills.
",3.7,software+architect
9231,"New Delhi, Delhi",Lead Cloud Engineer,Boston Consulting Group,NA,"
Experience in deploying/maintaining infrastructure platforms & software solutions (ideally AWS).
Bachelors/Master’s degree in software engineering, computer…
",4.2,software+architect
9232,"Bengaluru, Karnataka","Sr Software Engineer, Core Data Platform",Uber,NA,"
Work alongside the pioneers of big data systems such as Hive, Yarn, Spark, Presto, Kafka, Flink to build out a highly reliable, performant, easy to use software…
",3.7,software+architect
9233,"Gurgaon, Haryana",Service Desk Support Engineer,ANSR Accelerator,NA,"
Strong awareness and understanding of hardware, networks, software technologies and applications.
Provides technical support of all facets of the EUC, Wintel…
",NA,software+architect
9234,"Bengaluru, Karnataka",Technical Product Manager,Zipcar,NA,"
Over 5 years of experience in software product management.
Opportunity to make a huge impact on Zipcars current and future product offerings, working closely…
",NA,software+architect
9235,Remote,Engineering Manager,BatchService,NA,"
You will work closely with the team's software architect, project manager, product manager.
Work closely with Product team , understand requirements, do…
",NA,software+architect
9236,"Hyderabad, Telangana",Senior Software Engineer - Multiple Locations,Optum,NA,"
Experience in building a software product from the ground-up to live production.
Hands-on experience with software architecture, applications development life…
",3.4,software+architect
9237,"Bengaluru, Karnataka",Member of Technical Staff - Data,Wind River,NA,"
Awareness of security considerations relevant to software deployments.
Solid understanding of software product development lifecycle (including requirements and…
",NA,software+architect
9238,"Bengaluru, Karnataka",Senior Software Engineer-IT,Dell Technologies,NA,"
Familiarity with Agile/SCRUM based software development lifecycle principles.
As a back-end developer, you will be responsible for design and development of…
",4.0,software+architect
9239,"Pune, Maharashtra","Senior Software Engineer (.Net, Cloud)",Telstra,NA,"
Familiarity with version control software like Git & Bit Bucket.
Design, build and support multiple complex software application technologies and their…
",4.0,software+architect
9240,"Bengaluru, Karnataka",Software Engineer II - Customer obsession (Backend),Uber,NA,"
4+ years of experience in backend software engineering.
As a Backend Software Engineer at Uber Customer Obsession Engineering, you will help architect and…
",3.7,software+architect
9241,"Bengaluru, Karnataka",newSenior Principal Software Engineer,Dell Technologies,NA,"
Knowledge of cloud-based software technology landscapes and DevOps ecosystems.
Understanding of modern software development processes including test-driven…
",4.0,software+architect
9242,"Bengaluru, Karnataka","Staff Software Engineer, Uber Infra",Uber,NA,"
12+ years of experience with software engineering.
Our engineering community depends on us to develop centralized solutions to support each part of the…
",3.7,software+architect
9243,"Mumbai, Maharashtra",Digital Data & Identity - Technical Specialist / Sr Technica...,Colgate-Palmolive,NA,"
Collaborate closely with software vendors to deliver global solutions.
Must be proficient in SQL, understand how to design and evaluate data models (conceptual,…
",4.3,software+architect
9244,"Bengaluru, Karnataka",Sr Data Science Engineer,Micron,NA,"
Establish software development best practices and tools to support data integrity, cleanup, and validation across all relevant data sources.
",3.7,software+architect
9245,"Hyderabad, Telangana+1 location",Cloud Application Engineer,Micron,NA,"
Bring together and share best-practice knowledge among the software/data engineer and architect community.
Demonstrated experience with software architecture …
",3.7,software+architect
9246,"Bengaluru, Karnataka",Web Engineer II,"Arrow Electronics, Inc.",NA,"
Support solution architects in problem analysis.
Manage full software development life cycle including understanding business requirements , performing solution…
",3.5,software+architect
9247,"Bengaluru, Karnataka",Data Engineer - Azure,lululemon India Tech Hub,NA,"
Familiarity with agile software delivery methodologies.
Augment CDP capabilities with new data sets and new data integrations to enhance omnichannel view of…
",NA,software+architect
9248,"Hyderabad, Telangana",Principal Backend Developer - Java,Advance Auto Parts,NA,"
Demonstrated knowledge in Agile software development disciplines.
Excellent interpersonal, written and verbal communication skills to work with different…
",3.4,software+architect
9249,"Bengaluru, Karnataka",Technical Product Manager,Zipcar,NA,"
Over 5 years of experience in software product management.
Opportunity to make a huge impact on Zipcars current and future product offerings, working closely…
",NA,software+architect
9250,"Hyderabad, Telangana",Senior Backend Developer - Java,Advance Auto Parts,NA,"
Learn new software tools and skills as needed.
Experience in supporting large-scale web applications and enterprise service software.
",3.4,software+architect
9251,NA,NA,NA,NA,NA,NA,blockchain
9252,"Mohali, Punjab",newBlockchain Developer ( Training / Freshers ),Paradise Techsoft Solutions Pvt. Ltd.,Full-timeDay shift,"
Training Period: 3-6 months (Stipend will be provided).
Qualification: Bachelor's Degree (Technical).
Employment will be offered to those who will successfully…
",NA,blockchain
9253,"Chennai, Tamil Nadu",newBlockchain Developer,Parts2Product,"₹30,000 a monthPart-time +1Flexible shift +4","
Need good black chain developer for training purpose.
Job Types: Full-time, Part-time, Freelance.
Part-time hours: 10 per week.
",NA,blockchain
9254,"Temporarily Remote in Kochi, Kerala",newHR Recruiter,TUTORS CLUBS,"₹30,000 a monthFlexible shift","
However, Technical Skills and Tutoring Skills are not required.
About our free of cost Technology Upskilling Programs* *(Techie Club)*.
",NA,blockchain
9255,"Gurgaon, Haryana",newBlockchain Developer (Intern),Synergy Labs,"₹10,000 a monthInternship","
Strong knowledge of bitcoin-like blockchains.
Research, design, develop, and test blockchain technologies.
Be involved in the global blockchain community and…
",NA,blockchain
9256,"Bengaluru, Karnataka",Blockchain Developer,Sodio Technologies Pvt Ltd,"₹6,00,000 - ₹10,00,000 a yearFull-timeMorning shift","
Solid programming skills, with strong experience in Solidity and decentralized architectures through DAO's, oracles, and other supporting infrastructure.
",NA,blockchain
9257,Remote,newBlockchain Developer,TeraBlock,"₹5,00,000 - ₹20,00,000 a yearFull-timeFlexible shift +1","
Troubleshoot snags and problems with blockchain-based mechanisms.
Developing and testing purpose-built blockchain-based mechanisms.
",NA,blockchain
9258,"Gurgaon, Haryana",newJr. Business Development Associate,LCX,"₹4,00,000 - ₹9,00,000 a yearFull-time","
Strong knowledge about different blockchain technologies and projects in the market.
Partnerships: Identifying, negotiating, and closing new partnerships with…
",NA,blockchain
9259,"Chennai, Tamil Nadu",newBlockchain Developer,Relevantz Technology Services India Pvt Ltd,"₹15,00,000 - ₹25,00,000 a yearFull-time","
Research, design, develop, and test blockchain technologies.
Be involved in the global blockchain community work on implementing and integrating the latest…
",NA,blockchain
9260,Remote,newBlockchain Architect,Zensar Technologies Limited,Full-timeFlexible shift +1,"
Delivery the blockchain based customer projects.
Manage a small team of maximum 5-7 blockchain engineers.
Lead Blockchain/ NFT based customer projects as key…
",3.8,blockchain
9261,"Warangal, Telangana",newBlockchain Trainer,MPACT,"₹70,000 - ₹90,000 a monthDay shift","Need a Blockchain trainer for 2 months training at an Engineering College at Warangal Job Type: Contractual / Temporary Salary: ₹70,000.00 - ₹90,000.00 per…",NA,blockchain
9262,"Bengaluru, Karnataka",Lead QA Engineer - Blockchain,Sodio Technologies Pvt Ltd,"₹5,00,000 - ₹10,00,000 a yearFull-timeMorning shift","
Any experience of working with blockchain, cryptocurrencies or e-commerce project (mandatory).
Proven track record of strategizing and evolving testing…
",NA,blockchain
9263,"Nashik, Maharashtra",Blockchain Developer,Sweply Technology Pvt Ltd,"₹5,00,000 - ₹12,00,000 a yearFull-timeDay shift","
Qualification: BE/Diploma (IT)/Computers/BCS/MCS.
Experience: 2-5 years in Blockchain Development.
Strong analytical and problem-solving skills.
",NA,blockchain
9264,"Noida, Uttar Pradesh",Blockchain,KiwiTech,NA,"
Experience in Ethereum and Ethereum smart contract standards mainly ERC20 and ERC721.
Experience with using web3.js lib.
ERC721 or ERC20 - token standards.
",4.0,blockchain
9265,"Bengaluru, Karnataka",Blockchain Developer,Artivatic Data Labs Pvt. Ltd.,"₹15,00,000 - ₹20,00,000 a yearFull-timeDay shift","
Plan security and compliance across the entire blockchain network and apply cryptographic mechanisms.
Be involved in the global blockchain community—work…
",NA,blockchain
9266,"Indore, Madhya Pradesh",newJunior Blockchain developer,Discover WebTech Private Limited,"₹2,40,000 - ₹2,60,000 a yearFull-timeDay shift","
Research, design, develop, and test blockchain technologies on the Ethereum network.
Experience in smart contract development using Solidity.
",NA,blockchain
9267,"Temporarily Remote in Gurgaon, Haryana",Blockchain Growth & Partnerships Manager,QuillHash Technologies Pvt Ltd,"₹5,00,000 - ₹7,00,000 a yearFull-timeDay shift","
One of the pioneer companies in the blockchain space.
Knowledge of blockchain, DeFi, crypto, NFT, and smart contracts.
Fitness and online course allowances.
",NA,blockchain
9268,Remote,Blockchain Developer,Optimhire,"₹15,00,000 a yearFull-timeDay shift","
Knowledge of cryptography and blockchain protocols.
At least 2 years of experience as a blockchain developer.
In-depth knowledge of best practices in blockchain…
",NA,blockchain
9269,"Nashik, Maharashtra",Blockchain Developer,Aryaa International,"₹3,00,000 - ₹10,00,000 a yearFull-timeMorning shift","
Experience requires : 3 to 8 years.
Must possess good logical, analytical, and communication skills.
Able to understand Cryptocurrency and or Blockchain…
",NA,blockchain
9270,"Kailash, Delhi",newBusiness Development Manager,Zuvomo,"₹40,000 - ₹60,000 a monthFull-timeDay shift","
*Cultivating positive interactions and relationships with old and new clients to evaluate better results*.
*Setting goals and developing plans for business and…
",NA,blockchain
9271,"Remote in Bengaluru, Karnataka",Blockchain Developer,Wits Innovation Lab,"₹3,55,627 - ₹14,79,866 a yearFull-timeFlexible shift","
Knowledge of bitcoin blockchain technology.
Securing the blockchain network with new technologies.
Preparing documentation on the blockchain development…
",NA,blockchain
9272,"Bengaluru, Karnataka",Blockchain Developer,SPK Systems,"₹1,50,000 - ₹6,00,000 a yearFull-timeDay shift","
Deep understanding of blockchain logic.
Contribution to Open Source blockchain projects is a major plus.
Designing custom build blockchain technology (Services,…
",NA,blockchain
9273,"Gurgaon, Haryana",newBusiness Development Intern,LCX,Internship,"
Good knowledge about different blockchain technologies and projects in the market.
Http://lcx.com/ is a secure and compliant platform for buying, selling,…
",NA,blockchain
9274,"Bengaluru, Karnataka",newProgram Director,IBM,Full-time,"
This team will enhance the cloud platform to support rapid onboarding of partner offerings and assist the partners where needed in adapting their solutions to…
",3.9,blockchain
9275,"Noida, Uttar Pradesh",Senior Blockchain Engineer,Sparx IT Solutions,NA,"
Knowledge of Binance, Cordana, EOS, TRON, Polkadot and other blockchains.
Should have good programming and logical skills.
",3.5,blockchain
9276,"Remote in Jaipur, Rajasthan",newBlockchain Developer,Appinop Technologies,"₹40,000 - ₹55,000 a monthFull-timeFlexible shift +2","
Understanding the private blockchain network.
We are looking for a blockchain developer who will be responsible for designing, implementing, and supporting a…
",NA,blockchain
9277,"Remote in Indore, Madhya Pradesh",Blockchain Developer,Quest Global Technologies Ltd.,"₹12,00,000 a yearFull-timeFlexible shift +1","
Research, design, develop, and test blockchain technologies.
Enable secure digital transactions by creating systems to record and store blockchain data in a way…
",NA,blockchain
9278,"Remote in Chennai, Tamil Nadu",Senior Project Manager – Blockchain team,DHL,Full-time,"
In this role, you will be responsible for a technical and methodological leadership to deliver E2E solutions based on Blockchain.
",3.7,blockchain
9279,"Gurgaon, Haryana",newBlockchain Developer,Oodles Technologies,Full-time,"
Experience in Smart Contracts and consensus algorithms & developing blockchain applications or proof-of-concepts (POCs) using Solidity on Ethereum, TRON.
",3.8,blockchain
9280,"Mumbai, Maharashtra",Blockchain / Crypto / NFT Marketing Head,Iassess Consultants,"₹12,00,000 - ₹25,00,000 a yearFull-timeDay shift","
You will be responsible for crafting strategies for all marketing teams, including digital, advertising communications and creative, and will set, monitor and…
",NA,blockchain
9281,"Bengaluru, Karnataka",newSoftware Tester,IBM,Full-time,"
To think along with clients and sell.
We are seeking a Systems Verification Test Software Engineer to drive solution enablement for newly announced – IBM Z and…
",3.9,blockchain
9282,"Remote in Chennai, Tamil Nadu",Support Engineer - Blockchain Team,DHL,Full-time,"
Your primary responsibility will be supporting and monitoring (backed up with a high degree of automation) applications/solutions for DPDHL and customers…
",3.7,blockchain
9283,Remote,Fraud Analyst,Transak,Full-time,"
2+ years relevant experience in a similar experience in risk domain (Fraud Investigation / KYC & KYB and Chargebacks).
",NA,blockchain
9284,"Hyderabad, Telangana",newBlockchain Developer,Diatoz Solutions Private Limited,"₹3,00,000 - ₹15,00,000 a yearFull-timeFlexible shift","
Develop, test, debug, support, and enhance blockchain software as per product specifications.
As a Block chain Developer, you are responsible for taking part in…
",NA,blockchain
9285,"Remote in New Delhi, Delhi",newHead of Finance,Binance,Full-time,"
This position will be instrumental in setting up and implementing the Financial Controls, policies and processes for the country.
",NA,blockchain
9286,"Alwar, Rajasthan",Blockchain Developer,Waterneer Biokube Technologies,"₹40,000 - ₹64,000 a monthFull-timeDay shift","
Knowledge of C++, Golang, C#, JavaScript, Solidity, Python or Rub.
API integration with third-party backends.
Distributed systems and peer-to-peer networking.
",NA,blockchain
9287,"Remote in Pune, Maharashtra+1 location",newBlockchain Developer-Solidity,Pragmatic Techsoft Pvt. Ltd,Full-timeDay shift,"
*Deep understanding of blockchain logic.*.
*Contribution to Open Source blockchain projects is a major plus.*.
*Familiarity with ERC20, ERC721, and others.*.
",NA,blockchain
9288,Remote,Sales Intern,MavenAI Technologies,"₹4,000 - ₹8,000 a monthInternshipFlexible shift","
Involving in negotiations and closing sales.
Must be an MBA(marketing) graduate.
",NA,blockchain
9289,"Temporarily Remote in Delhi, Delhi",Full Stack Blockchain Developer,QuillHash Technologies Pvt Ltd,"₹8,00,000 - ₹10,00,000 a yearFull-timeDay shift","
\* Development of Ethereum-based blockchain applications.
\* Deep understanding of NFTs and blockchain technologies.
\* 1+ years of relevant work experience.
",NA,blockchain
9290,"Chandigarh, Chandigarh",Blockchain Content Writer,Chaincode Consulting LLP,"₹4,00,000 a yearFull-timeFlexible shift +1","
Blockchain writing: 1 year (Preferred).
Write content for social media posts.
Knowledge of Blockchain technology.
Good command of written English.
",NA,blockchain
9291,"Delhi, Delhi",Blockchain Developer,Tech Alchemy,"₹5,00,000 - ₹15,00,000 a yearFull-timeDay shift","
Strong knowledge of bitcoin and ethereum like blockchains.
Keep up to date with latest developments in blockchain technology.
Total work: 1 year (Preferred).
",NA,blockchain
9292,"Pune, Maharashtra",Blockchain Developer,crimson media,"₹6,00,000 - ₹12,00,000 a yearFull-timeDay shift","
Deep understanding of blockchain logic.
Contribution to Open Source blockchain projects is a major plus.
Designing custom build blockchain technology (Services,…
",NA,blockchain
9293,"Temporarily Remote in New Delhi, Delhi",Business Development,OroPocket,"₹50,000 - ₹70,000 a monthFull-timeFlexible shift +1","
Good understanding of the blockchain ecosystem.
Contact potential or existing customers to showcase our product offerings.
",NA,blockchain
9294,"Chandigarh, Chandigarh",Blockchain Developer,Chaincode Consulting LLP,"₹25,00,000 a yearFull-timeFlexible shift +1","
Keeping up with current blockchain technologies and cryptography methods.
Collaborating with managers to determine blockchain technology needs and envisaged…
",NA,blockchain
9295,"Whitefield, Bengaluru, Karnataka",Blockchain Developer,SimplyFI Softech,NA,"Exp: 1-2 Yrs Vacancy: 1 Qualification: B.Tech (CS,ECE), MCA Skills: Hyperledger Fabric, NodeJs, GoLang, Docker, Git How To Apply To apply, please mail…",NA,blockchain
9296,"Bengaluru, Karnataka",Blockchain Developer,Unremot,"₹6,00,000 - ₹20,00,000 a yearFull-timeFlexible shift +1","
Design and build solutions using blockchain.
Design and develop core blockchain projects.
Analyse clients existing or fresh blockchain projects.
",NA,blockchain
9297,"Gurgaon, Haryana",Associate Blockchain Developer,LCX,"₹5,00,000 - ₹8,00,000 a yearFull-time","
In 2020 LCX gained regulatory approval for 8 blockchain-related registrations by the Financial Market Authority.
Strong proficiency in Node JS.
",NA,blockchain
9298,Remote,Engineering Manager,Genesis Block,Full-timeFlexible shift +1,"
Previous blockchain domain experience is must.
Create smart contracts and other blockchain code to execute on identified Leader.
",NA,blockchain
9299,"Chennai, Tamil Nadu",Blockchain Developer,Unikaa Solutions,"₹30,000 - ₹50,000 a monthFull-timeMorning shift","
Analyze clients existing or fresh blockchain projects.
Experience in blockchain 3rd party integration like Blockcypher, Etherscan, Coinpayment, etc.
",NA,blockchain
9300,"Remote in Pune, Maharashtra",Blockchain Developer,Nexonweb Solution Pvt Ltd,"₹12,00,000 a yearPart-time +1Day shift","
Research, design, develop, and test blockchain technologies.
Be involved in the global blockchain community work on implementing and integrating the latest…
",NA,blockchain
9301,"Gurgaon, Haryana",Blockchain Developer,Zorang Technologies,NA,"
Blockchain Development: 2 years (Preferred).
Development experience on blockchain platforms in IT domain.
Be involved in the global blockchain community work on…
",NA,blockchain
9302,"Delhi, Delhi",newSoftware Developer,Arete HealthTech,"₹3,00,000 - ₹8,00,000 a year","
As a Full Stack Developer, you will act as a Senior Technical Practitioner and be responsible for delivering software code for our in house products.
",NA,blockchain
9303,"Pune, Maharashtra",Blockchain Developer-Immediate Joinee,Pragmatic Techsoft Pvt. Ltd,"₹40,000 - ₹70,000 a month","
Deep understanding of blockchain logic.
Contribution to Open Source blockchain projects is a major plus.
Designing custom build blockchain technology (Services,…
",NA,blockchain
9304,"New Delhi, Delhi","Head of Sales, India",Chainalysis,NA,"
At Chainalysis, we help government agencies, cryptocurrency businesses, and financial institutions track and investigate illicit activity on the blockchain,…
",NA,blockchain
9305,"Gurgaon, Haryana",Blockchain Developer,Clavax Technologies,NA,"
Knowledge of cryptography and blockchain protocols.
We are looking for a blockchain developer who will be responsible for designing, implementing, and…
",3.8,blockchain
9306,"Indore, Madhya Pradesh",newSoftware Developer,Codes For Tomorrow,"₹10,000 - ₹35,000 a month","
Sound Knowledge of C, C++, Data structure.
Blockchain basics are an additional advantage.
Strong knowledge of basic programming & algorithms.
",NA,blockchain
9307,"Gurgaon, Haryana",Blockchain Developer,ISHTAR TRADERS & CONSULTANTS LLP,"₹7,00,000 a year","
Exp : 5 Yr in Software Development and 2 to 3 yr as blockchain developer*.
An ideal candidate should have a strong and proven full stack developer background…
",NA,blockchain
9308,"Bengaluru, Karnataka",newCorporate Development,CoinDCX,NA,"
Engineering experience, preferably within the blockchain ecosystem.
Strong interpersonal skills and ability to create strong relationships with entrepreneurs,…
",5.0,blockchain
9309,"Raipur, Chhattisgarh",Blockchain Developer,FOXXKNIT PRIVATE LIMITED,"₹15,000 - ₹40,000 a month","
We are looking for an experienced senior blockchain developer who will be responsible for the design and development of the blockchain components of the system…
",NA,blockchain
9310,"Mohali, Punjab",newHiring for Software Developers (FRESHER & INTERN),Brisk Logic Pvt. Ltd.,NA,"
4-6 months stipend based training cum placement.
Job Types: Full-time, Regular / Permanent.
Mohali, Punjab: Reliably commute or planning to relocate before…
",4.5,blockchain
9311,"Noida, Uttar Pradesh",newQA Test Engineer,Lapits Technologies,NA,"
We are team of 30 -50 blockchain developers based out of Noida, India.
We are looking for a results-driven QA Test Engineer to be responsible for designing and…
",NA,blockchain
9312,"Remote in Bengaluru, Karnataka",Blockchain Developer,WebMob Software Solutions,"₹5,00,000 - ₹18,00,000 a year","
Our specialties include Fintech product development, Blockchain development and consultancy, website development, graphic designing, digital marketing,…
",NA,blockchain
9313,"Chennai, Tamil Nadu+4 locations",Application Architect,Wipro Limited,NA,"
Transforming all applications into digital form and implementand evolve around mesh app and service architecture that support newtechnologies like IOT,…
",3.8,blockchain
