,location,title,company,salary,summary,rating,clean_location,clean_title
536,"Bangalore Urban, Karnataka+1 location",Principal Data Scientist,Michael Page,,"
Oversees large teams of associate and mid level data scientists, de-bottlenecking issues related to project execution.
Experience in developing teams from.
",3.5,"Bangalore Urban, Karnataka",Principal Data Scientist
537,"Bengaluru, Karnataka",Director Product Management – Data Platform and Analytics,Algonomy,,"
Drive product vision and execution for our data platform and analytics, including both real-time and historical analytics across all product areas, data…
",,"Bengaluru, Karnataka",Director Product Management – Data Platform Analytics
538,India,Customer Experience Engineer,FLYdocs,,"
Delivered a production-ready data pipeline.
Set up the data pipeline plan for a project or two.
The Customer Experience Engineer is a customer-centric…
",4.2,,Customer Experience Engineer
539,"Chennai, Tamil Nadu",Image Process Engineer - Machine Learning/Artificial Intelli...,Jobbycart Technologies,"₹25,000 - ₹50,000 a month","
Strong background in image and signal processing, statistics, and data analysis.
Develop algorithms to analyze and integrate data from dense 3D point clouds…
",,"Chennai, Tamil Nadu",Image Process Engineer Machine LearningArtificial Intelli
540,"Hyderabad, Telangana",Data Scientist,predera,,"
Taking responsibility for turning data into understanding by being active, educational, and supportive of every conversation about data.
",,"Hyderabad, Telangana",Data Scientist
541,"Pune, Maharashtra",Digital-Associate Program Manager-Data Scientist APGM,Eclerx,,"
Conceptualize and design cutting edge data science solution to solve the data science problem, apply design thinking concepts.
India | Full-time (FT) | Digital.
",3.7,"Pune, Maharashtra",DigitalAssociate Program ManagerData Scientist APGM
542,"Thiruvananthapuram, Kerala",Data Science Intern,Oracuz Infotech Pvt. Ltd,"₹10,000 - ₹15,000 a month","
Urgent requirement for Data Science, A.
I, Python, PHP, UI-UX, Manual Testing and Digital marketing interns for our ongoing client projects.
",,"Thiruvananthapuram, Kerala",Data Science Intern
543,"Chennai, Tamil Nadu",Principal Data Scientist,kaleidofin,,"
Lead and mentor a team of data scientists/analysts.
Provide analytical insights by analyzing various types of data, including mining our customer data, review…
",,"Chennai, Tamil Nadu",Principal Data Scientist
544,"Mumbai, Maharashtra",Machine Learning Engineer,Quantiphi,,"
Working closely with business and data team to ensure smooth delivery.
Working closely with business and data team to ensure smooth delivery.
",2.0,"Mumbai, Maharashtra",Machine Learning Engineer
545,"Gurgaon, Haryana",Data Scientist,MobiKwik,,"
Scientist, you will be able to work with large data set generated by millions of MobiKwik users.
Extensive experience with data manipulation and analysis using…
",3.9,"Gurgaon, Haryana",Data Scientist
546,"Mumbai, Maharashtra",AI/ML Engineer,dMACQ Software,,"
Candidates should have at least two years' experience with a BE/BTech in Electrical Engineering or Computer Science.
",3.7,"Mumbai, Maharashtra",AIML Engineer
547,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.",,"
Become a trusted partner and thought leader on customer data and data science & analytics techniques.
Build expertise on customer data from all Chase lines of…
",3.8,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate
548,"Ahmedabad, Gujarat",Data Scientist,Rapid Ops,,"
Work with team of data scientists and data engineer to build advanced analytical solutions for clients.
Create data tools for analytics and data scientist team…
",,"Ahmedabad, Gujarat",Data Scientist
549,"Bengaluru, Karnataka",Senior AI/ML Data Management Specialist,Wells Fargo,,"
Knowledge and understanding of data governance challenges and approaches: metadata, data quality, and data stewardship.
In this role, you will:
",3.7,"Bengaluru, Karnataka",Senior AIML Data Management Specialist
550,"Temporarily Remote in Bengaluru, Karnataka",AI Software Engineer/Architect – Studio AI,Wind River,,"
Real-time analytics: receiving and analyzing streaming data from distributed devices or applications (not just processing data at rest).
",,"Bengaluru, Karnataka",AI Software EngineerArchitect – Studio AI
551,"Bengaluru, Karnataka",Sr Data Science Engineer,Micron,,"
Design, architect, and develop a scalable and supportable data pipeline which includes data warehousing, data integration and ETL processing.
",3.7,"Bengaluru, Karnataka",Sr Data Science Engineer
552,"Hyderabad, Telangana","PDE Process Control System Engineer(Deep Learning, Data Scie...",Micron,,"
Work with Data Scientists to implement strategies for cleaning and preparing data for analysis, to develop data imputation algorithms, and optimize performance…
",3.7,"Hyderabad, Telangana",PDE Process Control System EngineerDeep Learning Data Scie
